input_row,submission_key,supplied_cod_imovel,resolved_cod_imovel,resolution_method,match_score,resolution_candidate_count,resolution_status,axes_repaired
95,aa1d86c46532e184cc1d03f61aa5c95b,GO-5212204-D7C048E5C31F4DA5A37066D256069D00,GO-5212204-D7C048E5C31F4DA5A37066D256069D00,id_exact,1.0,1,resolved,false
96,747e28ab40670f4adb0aa93cf22dddfa,GO-5212204-D99E7FB413AF499E8845CAA36FC4353B,GO-5212204-D99E7FB413AF499E8845CAA36FC4353B,id_exact,1.0,1,resolved,false
97,66bdf71c40bdc44f7554adfc40bc1d52,GO-5212204-DA0E3C866893466CA994D0B0178498F2,GO-5212204-DA0E3C866893466CA994D0B0178498F2,id_exact,1.0,1,resolved,false
98,6398eea20c7837260a106bf798fbd62a,GO-5212204-DD210C6E045D48DCBBE38A2FAEEE5520,GO-5212204-DD210C6E045D48DCBBE38A2FAEEE5520,id_exact,1.0,1,resolved,false
99,cace5a582f90dfd1ef40e7ed51671370,GO-5212204-E60476C645D74B1FABA244292F6A832C,GO-5212204-E60476C645D74B1FABA244292F6A832C,id_exact,1.0,1,resolved,false
100,1991839e965962aa37d34def33fd7f6a,GO-5212204-E8645BFEDF4047F3B7A323A4137BD120,GO-5212204-E8645BFEDF4047F3B7A323A4137BD120,id_exact,1.0,1,resolved,false
101,4d2fbc67deb97740ef0de7b5d96c3561,GO-5212204-ED546975E9DA42B19C6ED84E8C72955E,GO-5212204-ED546975E9DA42B19C6ED84E8C72955E,id_exact,1.0,1,resolved,false
102,0d6373e0d49082f3216c478c441512c4,GO-5212204-F02DDCCA149C4C74B510CC73B2AE078F,GO-5212204-F02DDCCA149C4C74B510CC73B2AE078F,id_exact,1.0,1,resolved,false
103,316aefc9606fee970117c2bb02c20765,,GO-5212204-F17BEA20B17148C1ADB4BD53A04EC448,polygon_geometric_match,1.0000000000000024,1,resolved,true
104,ebca1cc684b339fd090eb7c3e9495c93,GO-5212204-F3A12BE84DF7404989ED34657671EADE,GO-5212204-F3A12BE84DF7404989ED34657671EADE,id_exact,1.0,1,resolved,false
105,2a6554572b9784f24fb112228dda4bae,GO-5212204-F9D8CEEE683C4CF0AA64F517381CE6A0,GO-5212204-F9D8CEEE683C4CF0AA64F517381CE6A0,id_exact,1.0,1,resolved,false
106,177f2bb74954827f67d2d008c7d9afa0,GO-5212204-FD40D8C25F054CC0AC3449EBFAE863CB,GO-5212204-FD40D8C25F054CC0AC3449EBFAE863CB,id_exact,1.0,1,resolved,false
107,d737f7e8ce9799baa41b47b11022228f,GO-5212204-FE9378475EAB41548AD312054603D2A9,GO-5212204-FE9378475EAB41548AD312054603D2A9,id_exact,1.0,1,resolved,false
108,532a5342715d104e35b38fb809d26f22,GO-5212204-FF2B860A5A8E4683AC9980742FD4017B,GO-5212204-FF2B860A5A8E4683AC9980742FD4017B,id_exact,1.0,1,resolved,false
109,d8a9c85fbd5b23841d51c92df78caf08,GO-5212204-FFA9CF9AB45940F9BFA6ABCCF2A34EC0,GO-5212204-FFA9CF9AB45940F9BFA6ABCCF2A34EC0,id_exact,1.0,1,resolved,false
110,bcad5517cdf2fbb9eeb808ff20cb682a,GO-5212204-FFF0D6BB370744B6ADC11130F3424BAA,GO-5212204-FFF0D6BB370744B6ADC11130F3424BAA,id_exact,1.0,1,resolved,false
111,aa2b1a79ef530d7a2394479c430d7977,GO-5219258-021D6EEAC0FE4976868FEBAAD4C9056C,GO-5219258-021D6EEAC0FE4976868FEBAAD4C9056C,id_exact,1.0,1,resolved,false
112,e4764defd261693e02393e90e3871567,GO-5219258-6D5094743E1043679D24C466E4814A0D,GO-5219258-6D5094743E1043679D24C466E4814A0D,id_exact,1.0,1,resolved,false
113,69131b6e7945eebbef34406623a44a6d,GO-5219258-782BD54A308C45BEA6E4184FDA795ED5,GO-5219258-782BD54A308C45BEA6E4184FDA795ED5,id_exact,1.0,1,resolved,false
114,e44663698bd2b7c101b3d36d097a8721,GO-5219258-790AA7BBD80648C79EF9210095176353,GO-5219258-790AA7BBD80648C79EF9210095176353,id_exact,1.0,1,resolved,false
115,0d657ae9edea7baee27ebd25e16418e0,GO-5219258-803E3D97C5A8498CBB0C2DFE0F2EB8E7,GO-5219258-803E3D97C5A8498CBB0C2DFE0F2EB8E7,id_exact,1.0,1,resolved,false
116,64d773b329c99838d92379e766ebcb9a,GO-5219258-D8B970A69F30415F9FDEE84663A2210B,GO-5219258-D8B970A69F30415F9FDEE84663A2210B,id_exact,1.0,1,resolved,false
117,91a21006b6943714a35085e9b0581967,GO-5219258-E7F86639E6404DC4AD9B8DBFAFFB112B,GO-5219258-E7F86639E6404DC4AD9B8DBFAFFB112B,id_exact,1.0,1,resolved,false
118,70411b9723a74e2fc2fcf1526795ae8c,GO-5207600-E22FF9A4A75344D3994CB002B90B6686,GO-5207600-E22FF9A4A75344D3994CB002B90B6686,id_exact,1.0,1,resolved,false
119,304ece8e83fc9ab9a341f27b028fc885,,,,,0,unresolved_geometry,false
